Stage,Day,Time,Act
Main Stage,Friday 28th August,18:00 - 19:00,JADE
Main Stage,Friday 28th August,19:30 - 20:30,Zara Larsson
Main Stage,Friday 28th August,21:00 - 22:00,SOMBR
Main Stage,Friday 28th August,22:45 - 00:00,Lewis Capaldi
Main Stage,Saturday 29th August,14:00 - 15:00,City Stages ft Tinie Tempah
Main Stage,Saturday 29th August,17:30 - 18:30,Role Model
Main Stage,Saturday 29th August,19:15 - 20:15,The Mary Wallopers
Main Stage,Saturday 29th August,21:00 - 22:15,CMAT
Main Stage,Saturday 29th August,23:05 - 00:35,Gorillaz
Main Stage,Sunday 30th August,13:00 - 14:00,RTÉ Céili Mór
Main Stage,Sunday 30th August,14:45 - 15:30,James Marriott
Main Stage,Sunday 30th August,16:00 - 17:00,Van Morrison
Main Stage,Sunday 30th August,17:30 - 18:30,The Saw Doctors (Main Stage)
Main Stage,Sunday 30th August,19:00 - 20:00,Djo
Main Stage,Sunday 30th August,20:30 - 21:45,Amble
Main Stage,Sunday 30th August,22:30 - 00:00,Fontaines D.C.
Electric Arena,Friday 28th August,18:30 - 19:15,Gurriers
Electric Arena,Friday 28th August,19:45 - 20:45,Wunderhorse
Electric Arena,Friday 28th August,21:14 - 22:14,Wolf Alice
Electric Arena,Friday 28th August,22:45 - 00:00,Ben Hemsley
Electric Arena,Saturday 29th August,14:00 - 14:30,Violet Grohl
Electric Arena,Saturday 29th August,15:00 - 15:45,Jessie Murph
Electric Arena,Saturday 29th August,16:15 - 17:00,The Undertones
Electric Arena,Saturday 29th August,17:15 - 18:00,Kyla Cobbler
Electric Arena,Saturday 29th August,18:30 - 19:30,The Stunning
Electric Arena,Saturday 29th August,20:00 - 21:00,Damien Dempsey
Electric Arena,Saturday 29th August,21:30 - 23:00,Interplanetary Criminal
Electric Arena,Saturday 29th August,23:00 - 00:30,Duke Dumont
Electric Arena,Sunday 30th August,14:20 - 15:00,People I've Met
Electric Arena,Sunday 30th August,15:30 - 16:15,Rose Gray
Electric Arena,Sunday 30th August,16:45 - 17:30,Florence Road
Electric Arena,Sunday 30th August,18:00 - 18:45,Skye Newman
Electric Arena,Sunday 30th August,19:15 - 20:15,Mick Flannery
Electric Arena,Sunday 30th August,21:00 - 22:00,Skepta
Electric Arena,Sunday 30th August,22:30 - 00:00,Obskür
Rankins Wood,Friday 28th August,18:30 - 19:15,Darren Kiely
Rankins Wood,Friday 28th August,19:45 - 20:45,Men I Trust
Rankins Wood,Friday 28th August,21:30 - 22:30,JPEGMAFIA
Rankins Wood,Friday 28th August,23:00 - 00:00,Loyle Carner
Rankins Wood,Saturday 29th August,14:15 - 15:00,Nieve Ella
Rankins Wood,Saturday 29th August,15:30 - 16:15,Cliffords
Rankins Wood,Saturday 29th August,16:45 - 17:30,Audrey Hobert
Rankins Wood,Saturday 29th August,18:15 - 19:00,Aaron Rowe
Rankins Wood,Saturday 29th August,19:30 - 20:15,Oklou
Rankins Wood,Saturday 29th August,21:00 - 22:00,The Academic
Rankins Wood,Saturday 29th August,22:30 - 23:30,The Scratch
Rankins Wood,Sunday 30th August,14:00 - 14:30,Bleech 9:3
Rankins Wood,Sunday 30th August,15:00 - 15:30,Keo
Rankins Wood,Sunday 30th August,16:00 - 16:45,Tyler Ballgame
Rankins Wood,Sunday 30th August,17:15 - 18:00,Madra Salach
Rankins Wood,Sunday 30th August,18:30 - 19:15,ADÉLA
Rankins Wood,Sunday 30th August,19:50 - 20:30,Ravyn Lenae
Rankins Wood,Sunday 30th August,21:00 - 22:00,Geese
Rankins Wood,Sunday 30th August,22:30 - 23:30,Hermitage Green
Terminus,Friday 28th August,18:00 - 19:30,Faster Horses
Terminus,Friday 28th August,19:30 - 21:00,DART
Terminus,Friday 28th August,21:00 - 22:30,X Club.
Terminus,Saturday 29th August,16:39 - 17:30,E.T.C
Terminus,Saturday 29th August,17:30 - 18:30,Kayleigh Glynn
Terminus,Saturday 29th August,18:30 - 20:00,TWOFACED
Terminus,Saturday 29th August,20:00 - 21:30,Clouds
Terminus,Saturday 29th August,21:35 - 23:00,Belters Only
Terminus,Sunday 30th August,17:30 - 18:30,Derv
Terminus,Sunday 30th August,18:30 - 19:45,CamrinWatsin
Terminus,Sunday 30th August,19:45 - 21:00,EFFY
Terminus,Sunday 30th August,21:00 - 22:30,MALUGI
Comedy Arena,Friday 28th August,18:00 - 18:15,MC Damian Clark
Comedy Arena,Friday 28th August,18:15 - 18:35,Eric Lawlor
Comedy Arena,Friday 28th August,18:35 - 18:50,Ailish McCarthy
Comedy Arena,Friday 28th August,18:50 - 19:15,Fred Cooke
Comedy Arena,Friday 28th August,19:20 - 19:35,Ian Burke
Comedy Arena,Friday 28th August,19:35 - 19:50,Taran O'Sullivan
Comedy Arena,Friday 28th August,19:50 - 20:15,Martin Angolo
Comedy Arena,Friday 28th August,20:20 - 20:35,Louisa Ní Éideáin
Comedy Arena,Friday 28th August,20:35 - 20:50,Darren Gaffney
Comedy Arena,Friday 28th August,20:55 - 21:20,Diona Doherty
Comedy Arena,Friday 28th August,21:20 - 21:35,Steve Spade
Comedy Arena,Friday 28th August,21:35 - 22:10,Deirdre O'Kane
Comedy Arena,Saturday 29th August,14:00 - 14:15,MC Karl Spain
Comedy Arena,Saturday 29th August,14:15 - 14:35,Richie Bree
Comedy Arena,Saturday 29th August,14:35 - 14:45,Dame Stuffy
Comedy Arena,Saturday 29th August,14:45 - 15:05,Patrick McDonnell
Comedy Arena,Saturday 29th August,15:05 - 15:35,David McSavage
Comedy Arena,Saturday 29th August,15:35 - 15:55,Anna Clifford
Comedy Arena,Saturday 29th August,15:55 - 16:15,Breda Hegarty
Comedy Arena,Saturday 29th August,16:15 - 16:30,Sadhbh McLoughlin
Comedy Arena,Saturday 29th August,16:35 - 17:00,Bernard O'Shea
Comedy Arena,Saturday 29th August,17:00 - 17:25,Thomas Greene
Comedy Arena,Saturday 29th August,17:25 - 17:50,Willie White
Comedy Arena,Saturday 29th August,17:50 - 18:15,Paddy McDonnell
Comedy Arena,Saturday 29th August,18:15 - 18:40,Kevin McGahern
Comedy Arena,Saturday 29th August,18:45 - 19:10,Bernard Casey
Comedy Arena,Saturday 29th August,19:15 - 19:40,Enya Martin
Comedy Arena,Saturday 29th August,19:45 - 20:10,Emer Maguire
Comedy Arena,Saturday 29th August,20:15 - 20:40,Vittorio Angelone
Comedy Arena,Saturday 29th August,20:45 - 21:25,Mario Rosenstock
Comedy Arena,Sunday 30th August,13:55 - 14:10,MC Karl Spain
Comedy Arena,Sunday 30th August,14:10 - 14:35,Thomas Greene
Comedy Arena,Sunday 30th August,14:35 - 14:45,Michael Roche
Comedy Arena,Sunday 30th August,14:45 - 15:05,Paul Marsh
Comedy Arena,Sunday 30th August,15:05 - 15:20,Keith Fox
Comedy Arena,Sunday 30th August,15:20 - 15:40,Ger Staunton
Comedy Arena,Sunday 30th August,15:40 - 16:00,Sinéad Quinlan
Comedy Arena,Sunday 30th August,16:00 - 16:25,Alison Spittle
Comedy Arena,Sunday 30th August,16:25 - 16:50,Katie Boyle
Comedy Arena,Sunday 30th August,16:50 - 17:10,Simon Hennessey
Comedy Arena,Sunday 30th August,17:15 - 17:35,Owen Colgan
Comedy Arena,Sunday 30th August,17:40 - 18:00,John Colleary
Comedy Arena,Sunday 30th August,18:05 - 18:25,Aoife Dunne
Comedy Arena,Sunday 30th August,18:25 - 18:50,Michael Fry
Comedy Arena,Sunday 30th August,18:55 - 19:20,David Nihill
Comedy Arena,Sunday 30th August,19:25 - 19:50,Rachel Galvo
Comedy Arena,Sunday 30th August,19:50 - 20:15,Mike Rice
Comedy Arena,Sunday 30th August,20:20 - 20:50,Reggie Watts
Comedy Arena,Sunday 30th August,20:55 - 21:30,Shane Todd
3 Charge and Chill,Friday 28th August,16:00 - 17:00,?
3 Charge and Chill,Friday 28th August,17:00 - 18:00,?
3 Charge and Chill,Friday 28th August,19:00 - 20:00,?
3 Charge and Chill,Friday 28th August,21:30 - 22:30,?
3 Charge and Chill,Saturday 29th August,14:45 - 15:30,?
3 Charge and Chill,Saturday 29th August,16:30 - 16:55,?
3 Charge and Chill,Saturday 29th August,18:00 - 19:00,?
3 Charge and Chill,Saturday 29th August,19:15 - 19:45,?
3 Charge and Chill,Saturday 29th August,20:45 - 21:30,?
3 Charge and Chill,Saturday 29th August,21:30 - 23:00,?
3 Charge and Chill,Sunday 30th August,14:30 - 15:30,?
3 Charge and Chill,Sunday 30th August,16:30 - 17:00,?
3 Charge and Chill,Sunday 30th August,18:15 - 19:00,?
3 Charge and Chill,Sunday 30th August,20:00 - 20:45,?
3 Charge and Chill,Sunday 30th August,21:45 - 22:30,?
Anachronica,Friday 28th August,22:00 - 23:30,Shauna Dee
Anachronica,Friday 28th August,23:30 - 01:00,Modeā
Anachronica,Friday 28th August,01:00 - 02:30,Bryan Kearney
Anachronica,Friday 28th August,02:30 - 04:00,MAV666
Anachronica,Saturday 29th August,22:00 - 23:30,FAXE ON FAXE
Anachronica,Saturday 29th August,23:30 - 01:00,LAWRENCE B2B Kule
Anachronica,Saturday 29th August,01:00 - 02:30,Lorcan Kelly
Anachronica,Saturday 29th August,02:30 - 04:00,DIEBYVEG B2B Charlotte Walsh
Anachronica,Sunday 30th August,22:00 - 23:30,BRONWYN
Anachronica,Sunday 30th August,22:00 - 23:30,DJ Scenic
Anachronica,Sunday 30th August,23:30 - 01:00,Taurean
Anachronica,Sunday 30th August,01:00 - 02:30,Collie
Anachronica,Sunday 30th August,02:30 - 04:00,OISINOK
Artlot,Thursday 27th August,22:00 - 23:00,Jordo Byrne
Artlot,Thursday 27th August,23:00 - 00:00,FLOODY
Artlot,Friday 28th August,13:00 - 13:45,The Wires
Artlot,Friday 28th August,14:15 - 15:00,The Voodoo Kitchen
Artlot,Friday 28th August,15:30 - 16:30,Lemonade Shoelace
Artlot,Friday 28th August,17:00 - 17:15,Bevel & Embody
Artlot,Friday 28th August,17:15 - 18:15,Kapayja
Artlot,Friday 28th August,18:45 - 19:30,Smithereens
Artlot,Friday 28th August,20:00 - 21:00,Croíthe
Artlot,Friday 28th August,21:25 - 21:30,KAY
Artlot,Friday 28th August,21:30 - 22:30,Claudia O
Artlot,Friday 28th August,22:30 - 23:30,AdzyOB
Artlot,Friday 28th August,23:30 - 02:00,Jamie Ennis
Artlot,Friday 28th August,02:00 - 04:00,Modeā
Artlot,Saturday 29th August,12:30 - 13:30,The Dirty Circus
Artlot,Saturday 29th August,14:00 - 14:50,The Gladstone Band
Artlot,Saturday 29th August,15:10 - 16:10,and he the fool
Artlot,Saturday 29th August,16:40 - 17:00,KAY
Artlot,Saturday 29th August,17:00 - 18:00,Curfew
Artlot,Saturday 29th August,18:30 - 19:30,Ember
Artlot,Saturday 29th August,20:00 - 21:00,The WU
Artlot,Saturday 29th August,21:45 - 22:30,SEANEM
Artlot,Saturday 29th August,22:30 - 23:30,Barry Bolger
Artlot,Saturday 29th August,23:30 - 01:30,A/K
Artlot,Saturday 29th August,01:30 - 04:00,Sharpson
Artlot,Sunday 30th August,12:20 - 12:40,Phil Kenny
Artlot,Sunday 30th August,12:40 - 13:00,THE VAGABOND QUEEN
Artlot,Sunday 30th August,13:50 - 14:40,Mykology
Artlot,Sunday 30th August,15:00 - 15:45,Some One's Sons
Artlot,Sunday 30th August,16:15 - 17:15,Mac Steady
Artlot,Sunday 30th August,17:45 - 18:45,Child of Prague
Artlot,Sunday 30th August,19:00 - 20:00,The Blow In's
Artlot,Sunday 30th August,20:15 - 20:30,Bevel & Embody
Artlot,Sunday 30th August,21:00 - 22:00,BUDLY
Artlot,Sunday 30th August,22:00 - 23:00,DJ BEKS
Artlot,Sunday 30th August,23:00 - 00:00,People_Like_Us
Artlot,Sunday 30th August,00:00 - 01:30,Lucas Ogma
Artlot,Sunday 30th August,01:30 - 03:30,RATHAUS
ArtLot Groove & Palette,Friday 28th August,12:00 - 18:00,Groove & Palette
ArtLot Groove & Palette,Saturday 29th August,12:00 - 18:00,Groove & Palette
ArtLot Groove & Palette,Sunday 30th August,12:00 - 18:00,Groove & Palette
Brutropolis - Metro,Thursday 27th August,17:30 - 18:50,DJ Sonic Boom B2B Jammy Dodger
Brutropolis - Metro,Thursday 27th August,19:00 - 20:00,Madonna Kebab
Brutropolis - Metro,Thursday 27th August,20:10 - 21:40,DJ Battery Acid
Brutropolis - Metro,Thursday 27th August,21:50 - 23:50,Donna Leake
Brutropolis - Metro,Friday 28th August,17:00 - 18:30,THXXTI
Brutropolis - Metro,Friday 28th August,20:20 - 21:50,DJ PCP's 21st Century Carnival
Brutropolis - Metro,Friday 28th August,22:00 - 22:45,Fessa
Brutropolis - Metro,Friday 28th August,22:55 - 00:25,Gaff-e
Brutropolis - Metro,Friday 28th August,00:35 - 02:05,DJ B.Augustus B2B Milis
Brutropolis - Metro,Friday 28th August,02:15 - 03:55,DJ Dewalt B2B DJ Hanibal Selector
Brutropolis - Metro,Saturday 29th August,17:05 - 17:50,Tailor Birds
Brutropolis - Metro,Saturday 29th August,18:00 - 18:45,SheLovesCalpol
Brutropolis - Metro,Saturday 29th August,19:00 - 20:00,Emma Lohan
Brutropolis - Metro,Saturday 29th August,20:15 - 21:00,Na Dord & na Rialtáin
Brutropolis - Metro,Saturday 29th August,21:10 - 22:40,DJ Karmawi
Brutropolis - Metro,Saturday 29th August,22:50 - 00:20,Лукас Огма
Brutropolis - Metro,Saturday 29th August,00:30 - 02:00,Magz
Brutropolis - Metro,Saturday 29th August,02:10 - 04:00,DJackulate
Brutropolis - Metro,Sunday 30th August,17:00 - 18:00,DJ Transit
Brutropolis - Metro,Sunday 30th August,19:20 - 20:50,StrangeLove
Brutropolis - Metro,Sunday 30th August,21:00 - 21:45,Éabha
Brutropolis - Metro,Sunday 30th August,21:55 - 23:05,Hykken
Brutropolis - Metro,Sunday 30th August,23:15 - 00:35,INFLUX
Brutropolis - Metro,Sunday 30th August,00:45 - 02:15,Azu Tiwaline
Brutropolis - Ministry of Misinformation,Friday 28th August,19:00 - 19:40,?
Brutropolis - Ministry of Misinformation,Friday 28th August,20:25 - 21:05,?
Brutropolis - Ministry of Misinformation,Friday 28th August,21:45 - 22:10,?
Brutropolis - Ministry of Misinformation,Friday 28th August,23:55 - 00:40,?
Brutropolis - Ministry of Misinformation,Friday 28th August,01:25 - 02:20,?
Brutropolis - Ministry of Misinformation,Friday 28th August,03:00 - 04:00,?
Brutropolis - Ministry of Misinformation,Saturday 29th August,16:00 - 16:30,?
Brutropolis - Ministry of Misinformation,Saturday 29th August,17:40 - 18:30,?
Brutropolis - Ministry of Misinformation,Saturday 29th August,19:30 - 20:00,?
Brutropolis - Ministry of Misinformation,Saturday 29th August,20:55 - 21:40,?
Brutropolis - Ministry of Misinformation,Saturday 29th August,22:25 - 23:10,?
Brutropolis - Ministry of Misinformation,Saturday 29th August,01:30 - 02:40,?
Brutropolis - Ministry of Misinformation,Saturday 29th August,03:00 - 04:00,?
Brutropolis - Ministry of Misinformation,Sunday 30th August,16:30 - 17:05,?
Brutropolis - Ministry of Misinformation,Sunday 30th August,18:30 - 19:10,?
Brutropolis - Ministry of Misinformation,Sunday 30th August,20:00 - 20:40,?
Brutropolis - Ministry of Misinformation,Sunday 30th August,21:30 - 22:10,?
Brutropolis - Ministry of Misinformation,Sunday 30th August,23:10 - 00:00,?
Cerebral Fortress,Friday 28th August,22:00 - 23:30,?
Cerebral Fortress,Friday 28th August,23:30 - 01:00,?
Cerebral Fortress,Friday 28th August,01:00 - 03:00,?
Cerebral Fortress,Friday 28th August,03:00 - 04:00,?
Cerebral Fortress,Saturday 29th August,22:00 - 23:00,?
Cerebral Fortress,Saturday 29th August,23:00 - 00:00,?
Cerebral Fortress,Saturday 29th August,00:00 - 01:00,?
Cerebral Fortress,Saturday 29th August,01:00 - 02:30,?
Cerebral Fortress,Saturday 29th August,02:30 - 04:00,?
Cerebral Fortress,Sunday 30th August,22:00 - 23:00,?
Cerebral Fortress,Sunday 30th August,23:00 - 00:30,?
Coke Studio,Friday 28th August,15:00 - 17:00,Ab Stylez
Coke Studio,Friday 28th August,17:30 - 18:15,Anna's Number
Coke Studio,Friday 28th August,18:45 - 19:15,Allie Sherlock
Coke Studio,Friday 28th August,19:45 - 20:30,Code of Behaviour
Coke Studio,Friday 28th August,21:00 - 22:00,COKE STUDIO SECRET SET - FRIDAY
Coke Studio,Friday 28th August,22:30 - 00:00,Chris Watson
Coke Studio,Friday 28th August,00:00 - 02:00,Cody Wong
Coke Studio,Saturday 29th August,17:45 - 18:15,COKE STUDIO SECRET SET - SATURDAY
Coke Studio,Saturday 29th August,18:45 - 19:30,Aimee
Coke Studio,Saturday 29th August,21:15 - 22:15,Prymary Colours
Coke Studio,Saturday 29th August,22:15 - 00:00,Dave Treacy b2b Shane Sully (Coca Cola Dream Academy Winner)
Coke Studio,Sunday 30th August,17:15 - 17:45,COKE STUDIO SECRET SET - SUNDAY
Coke Studio,Sunday 30th August,17:45 - 18:30,Travis & Elzzz
Coke Studio,Sunday 30th August,18:30 - 20:30,Malo
Coke Studio,Sunday 30th August,22:30 - 00:00,Riff Shop
Coke Studio,Sunday 30th August,00:00 - 02:00,Ciara E
Croi - Crescent Earth,Friday 28th August,16:00 - 17:00,Céili Mór - Lynam School of Dancing
Croi - Crescent Earth,Friday 28th August,17:30 - 18:30,Donna Murphy | Zumba
Croi - Crescent Earth,Saturday 29th August,12:00 - 13:00,Sunflower Sessions
Croi - Crescent Earth,Saturday 29th August,13:30 - 14:30,BollyBeatsⓇ
Croi - Crescent Earth,Saturday 29th August,15:00 - 16:00,Allan Müller
Croi - Crescent Earth,Saturday 29th August,16:30 - 17:30,Lapree Lala
Croi - Crescent Earth,Sunday 30th August,12:00 - 13:00,Kate Dagher
Croi - Crescent Earth,Sunday 30th August,13:30 - 14:30,Fonda Jane
Croi - Crescent Earth,Sunday 30th August,15:00 - 16:00,MooreFitness
Croi - Crescent Earth,Sunday 30th August,16:30 - 17:30,Donking Rongavilla
Croi - Intinn,Friday 28th August,16:00 - 17:00,Yoga le Ciarán (Óga Yoga)
Croi - Intinn,Friday 28th August,17:30 - 18:30,ALIGNED by Amber Doyle
Croi - Intinn,Saturday 29th August,12:30 - 13:30,Yoga with Kendra
Croi - Intinn,Saturday 29th August,13:50 - 14:50,Adam Dickson
Croi - Intinn,Saturday 29th August,15:20 - 16:20,Rachel from MyWellbeing.ie
Croi - Intinn,Saturday 29th August,16:50 - 17:50,Tura Arutura
Croi - Intinn,Sunday 30th August,12:20 - 13:20,The Healing Forest
Croi - Intinn,Sunday 30th August,13:50 - 14:50,Alchemy of Sound
Croi - Intinn,Sunday 30th August,15:20 - 16:20,Ross Cousens
Croi - Intinn,Sunday 30th August,16:50 - 17:50,Aoife Smith - Systematic Kinesiologist
Croi - Kinship & Touch,Friday 28th August,16:00 - 17:00,Somatic Devotion
Croi - Kinship & Touch,Friday 28th August,17:30 - 18:30,Adam Dickson
Croi - Kinship & Touch,Saturday 29th August,12:20 - 13:20,Imagination Liberation
Croi - Kinship & Touch,Saturday 29th August,13:30 - 14:30,ALIGNED by Amber Doyle
Croi - Kinship & Touch,Saturday 29th August,14:40 - 15:40,Hannah O'Neill (Réaltaí readings)
Croi - Kinship & Touch,Saturday 29th August,15:50 - 16:50,Yoga With Maura
Croi - Kinship & Touch,Saturday 29th August,17:00 - 18:00,Carla McGreevy
Croi - Kinship & Touch,Sunday 30th August,12:20 - 13:20,Somatic Devotion
Croi - Kinship & Touch,Sunday 30th August,13:30 - 14:30,Hannah O'Neill (Réaltaí readings)
Croi - Kinship & Touch,Sunday 30th August,14:40 - 15:40,Polaris Fusion Bellydance Company
Croi - Kinship & Touch,Sunday 30th August,15:50 - 16:50,Kitty Maguire
Croi - Kinship & Touch,Sunday 30th August,17:00 - 18:00,Carla McGreevy
Croi - Main Stage,Friday 28th August,14:00 - 14:30,Just Alice
Croi - Main Stage,Friday 28th August,14:45 - 15:30,MnáSome Lives
Croi - Main Stage,Friday 28th August,16:00 - 17:00,An Chéad Ghlúin Eile
Croi - Main Stage,Friday 28th August,17:30 - 18:30,The Weaving
Croi - Main Stage,Friday 28th August,19:00 - 20:00,The Leon Stax Equation
Croi - Main Stage,Friday 28th August,20:30 - 21:30,Melina Malone
Croi - Main Stage,Friday 28th August,22:00 - 23:00,Na Cairde
Croi - Main Stage,Friday 28th August,23:30 - 00:30,Huartan
Croi - Main Stage,Friday 28th August,01:30 - 03:30,PERSONA Feat. The Firebirds
Croi - Main Stage,Saturday 29th August,13:00 - 14:00,The Inishbofin Céilí Band
Croi - Main Stage,Saturday 29th August,14:45 - 15:45,Mairéad
Croi - Main Stage,Saturday 29th August,16:30 - 17:30,Eleanor McEvoy
Croi - Main Stage,Saturday 29th August,18:15 - 19:15,Altan
Croi - Main Stage,Saturday 29th August,20:00 - 21:00,John Francis Flynn
Croi - Main Stage,Saturday 29th August,21:30 - 22:30,FeliSpeaks
Croi - Main Stage,Saturday 29th August,22:00 - 23:00,Hidden Orchestra
Croi - Main Stage,Saturday 29th August,23:00 - 23:30,Denise Chaila
Croi - Main Stage,Saturday 29th August,23:30 - 01:30,Mungo's Hi Fi feat Cian Finn & Special Guests
Croi - Main Stage,Saturday 29th August,02:00 - 03:30,Rory Sweeney (Live)
Croi - Main Stage,Sunday 30th August,13:00 - 14:00,Inni-K & the UCD Gamelan Orchestra
Croi - Main Stage,Sunday 30th August,14:45 - 15:45,Dordán
Croi - Main Stage,Sunday 30th August,16:30 - 17:30,Maighread & Tríona Ní Dhomhnaill
Croi - Main Stage,Sunday 30th August,18:00 - 19:00,Dónal Lunny Máirtín O'Connor & Zoë Conway
Croi - Main Stage,Sunday 30th August,19:30 - 20:30,Music Generation Harp Collective
Croi - Main Stage,Sunday 30th August,21:00 - 22:00,Kean Kavanagh
Croi - Main Stage,Sunday 30th August,22:45 - 23:45,Aindrias de Staic & The Latchikos
Croi - Main Stage,Sunday 30th August,00:30 - 02:30,Shampain (Millenium Madness Tour)
Croi - Realign,Friday 28th August,16:00 - 16:40,PETER PRIESTLEY
Croi - Realign,Friday 28th August,16:50 - 18:00,Didgeridoo Jedi
Croi - Realign,Saturday 29th August,12:15 - 13:00,Lurienne Jewel
Croi - Realign,Saturday 29th August,13:15 - 14:00,Lorraine Hogan
Croi - Realign,Saturday 29th August,14:15 - 15:00,Yoga le Ciarán (Óga Yoga)
Croi - Realign,Saturday 29th August,15:15 - 16:00,Yoga with Kendra
Croi - Realign,Saturday 29th August,16:15 - 17:00,Rince.Yoga
Croi - Realign,Sunday 30th August,12:15 - 13:00,Reggae Yoga w Reeta Cherie
Croi - Realign,Sunday 30th August,13:15 - 14:00,Aoife Smith
Croi - Realign,Sunday 30th August,14:15 - 15:00,Christine Higgins
Croi - Realign,Sunday 30th August,15:15 - 16:00,Marta Vera
Croi - Realign,Sunday 30th August,16:15 - 17:00,Yoga Parties
Croi - Serenity Gardens Stage,Friday 28th August,18:00 - 18:25,SERENITY GARDENS STAGE OPENS with AOS Sí NA TINE
Croi - Serenity Gardens Stage,Friday 28th August,18:30 - 19:25,PAULINE GARCIA
Croi - Serenity Gardens Stage,Friday 28th August,19:35 - 20:30,RÚ O'SHEA
Croi - Serenity Gardens Stage,Friday 28th August,21:05 - 22:00,EMMA LOHAN
Croi - Serenity Gardens Stage,Friday 28th August,22:30 - 23:59,FIRESIDE JAM HOSTED BY DOM
Croi - Serenity Gardens Stage,Saturday 29th August,10:00 - 12:00,CREATIVE WRITING ROUND THE FIRE WITH LULU SINOTT POETRY BY THE BARROW
Croi - Serenity Gardens Stage,Saturday 29th August,11:00 - 11:45,PUT THE KETTLE ON
Croi - Serenity Gardens Stage,Saturday 29th August,12:05 - 13:00,MERLOT BIRD
Croi - Serenity Gardens Stage,Saturday 29th August,18:00 - 18:50,CIARA LAWLESS
Croi - Serenity Gardens Stage,Saturday 29th August,19:15 - 20:15,JAMES KEEGAN
Croi - Serenity Gardens Stage,Saturday 29th August,20:45 - 21:45,THE LADY FI EXPERIENCE
Croi - Serenity Gardens Stage,Saturday 29th August,22:30 - 23:59,FIRESIDE JAM HOSTED BY DOM
Croi - Serenity Gardens Stage,Sunday 30th August,11:00 - 11:45,MARK HAYES
Croi - Serenity Gardens Stage,Sunday 30th August,12:05 - 13:00,BRIAN LEACH
Croi - Serenity Gardens Stage,Sunday 30th August,18:00 - 18:55,GEIS
Croi - Serenity Gardens Stage,Sunday 30th August,19:15 - 20:15,SHIMMER BOY
Croi - Serenity Gardens Stage,Sunday 30th August,20:45 - 21:45,ERIN & THE LENS
Croi Serenity Gardens - Soft Landing,Friday 28th August,12:00 - 13:15,SÍOGA TINE
Croi Serenity Gardens - Soft Landing,Friday 28th August,14:00 - 15:15,SHIMMY SHAKE & CELEBRATE with KATEO
Croi Serenity Gardens - Soft Landing,Friday 28th August,16:45 - 18:00,DJ GAELTRONICA
Croi Serenity Gardens - Soft Landing,Saturday 29th August,09:00 - 10:15,REVIVE YOUR VIBE WITH VITÓRIA SOUZA
Croi Serenity Gardens - Soft Landing,Saturday 29th August,10:45 - 11:45,DARA O'BRIEN - MORNING RAGAS ON SITAR
Croi Serenity Gardens - Soft Landing,Saturday 29th August,12:30 - 14:00,THE LIVING STAGE LIVE IMPROVISED THEATRE EXPERIENCE WITH YVONNE COUGHLAN
Croi Serenity Gardens - Soft Landing,Saturday 29th August,14:30 - 16:30,REWILDING WITH THE MINDSET EXPLORER & DJ CHACHØU
Croi Serenity Gardens - Soft Landing,Saturday 29th August,17:00 - 17:45,MIRANDA FAUL
Croi Serenity Gardens - Soft Landing,Saturday 29th August,19:30 - 21:00,DJ CHACHØU ON THE DECKS
Croi Serenity Gardens - Soft Landing,Sunday 30th August,09:30 - 10:45,MORNING KIRTAN WITH LEA
Croi Serenity Gardens - Soft Landing,Sunday 30th August,11:15 - 12:45,NEUROGRAPHICS WITH YANA
Croi Serenity Gardens - Soft Landing,Sunday 30th August,13:00 - 14:15,Sí Yoga: Bí Beo
Croi Serenity Gardens - Soft Landing,Sunday 30th August,14:45 - 16:15,YOUR FESTIVAL JOURNEY: A CREATIVE JOURNEY THROUGH COLLAGE WITH RUTH & EL
Croi Serenity Gardens - Soft Landing,Sunday 30th August,16:45 - 18:15,RAW & RECITING: The Vagabond Queen Lulu Sinnott & Cathal Holden
Croi Serenity Gardens - Soft Landing,Sunday 30th August,19:30 - 21:00,DJ GAELTRONICA
Fishtown,Friday 28th August,13:45 - 14:30,TONY ST LEDGER
Fishtown,Friday 28th August,15:00 - 15:45,7LZ
Fishtown,Friday 28th August,16:15 - 17:00,GROEV
Fishtown,Friday 28th August,17:30 - 18:15,MALAKI
Fishtown,Friday 28th August,18:45 - 19:30,MADAMS LAST DISCOVERY
Fishtown,Friday 28th August,20:00 - 20:45,JEAN PACK & THE SLAY BABIES
Fishtown,Friday 28th August,21:15 - 22:00,CHILD OF PRAGUE
Fishtown,Friday 28th August,22:30 - 23:30,JINX LENNON
Fishtown,Friday 28th August,00:15 - 01:00,MAYKAY
Fishtown,Friday 28th August,01:30 - 02:30,JERRY FISH
Fishtown,Friday 28th August,03:00 - 04:00,R.S.A.G. & Kilo presents Decks N Drums
Fishtown,Saturday 29th August,12:20 - 13:05,Rua Rí
Fishtown,Saturday 29th August,13:25 - 14:10,DEAR WILLOW
Fishtown,Saturday 29th August,14:30 - 15:15,LUCY MC WILLIAMS
Fishtown,Saturday 29th August,15:45 - 16:30,LEEVY
Fishtown,Saturday 29th August,17:00 - 18:00,Grá
Fishtown,Saturday 29th August,18:30 - 19:30,BABYRAT
Fishtown,Saturday 29th August,20:00 - 21:00,ROWETTA (HAPPY MONDAYS)
Fishtown,Saturday 29th August,21:30 - 22:30,THE DONNYS
